iter	Passed	Remaining
912	7670	76346
913	7678	76336
914	7687	76325
915	7695	76315
916	7703	76302
917	7711	76291
918	7719	76280
919	7727	76268
920	7735	76255
921	7743	76247
922	7752	76236
923	7760	76223
924	7768	76211
925	7776	76198
926	7784	76186
927	7792	76180
928	7800	76167
929	7808	76155
930	7817	76146
931	7825	76135
932	7832	76121
933	7841	76110
934	7849	76100
935	7857	76088
936	7865	76077
937	7873	76066
938	7881	76056
939	7890	76054
940	7899	76047
941	7907	76040
942	7916	76031
943	7924	76022
944	7932	76008
945	7940	76000
946	7949	75990
947	7956	75976
948	7965	75965
949	7973	75955
950	7981	75944
951	7989	75932
952	7997	75918
953	8005	75906
954	8013	75897
955	8021	75885
956	8029	75872
957	8038	75867
958	8046	75858
959	8055	75852
960	8063	75841
961	8071	75831
962	8079	75821
963	8087	75810
964	8095	75800
965	8104	75790
966	8112	75777
967	8121	75775
968	8129	75766
969	8139	75774
970	8149	75780
971	8160	75791
972	8168	75782
973	8176	75775
974	8184	75761
975	8193	75752
976	8201	75743
977	8209	75733
978	8217	75721
979	8225	75709
980	8233	75695
981	8241	75685
982	8249	75672
983	8257	75659
984	8265	75649
985	8273	75638
986	8281	75626
987	8290	75617
988	8298	75606
989	8306	75596
990	8314	75583
991	8322	75569
992	8330	75559
993	8338	75545
994	8346	75535
995	8354	75525
996	8362	75514
997	8370	75502
998	8378	75493
999	8387	75484
1000	8395	75473
1001	8403	75463
1002	8411	75452
1003	8419	75442
1004	8427	75431
1005	8435	75418
1006	8444	75409
1007	8452	75399
1008	8460	75386
1009	8468	75375
1010	8476	75363
1011	8485	75361
1012	8493	75351
1013	8501	75340
1014	8510	75333
1015	8518	75320
1016	8526	75310
1017	8534	75300
1018	8542	75290
1019	8550	75281
1020	8559	75271
1021	8567	75261
1022	8575	75250
1023	8583	75241
1024	8591	75230
1025	8600	75221
1026	8608	75212
1027	8616	75201
1028	8624	75189
1029	8632	75181
1030	8641	75170
1031	8649	75159
1032	8657	75149
1033	8665	75137
1034	8673	75127
1035	8681	75117
1036	8689	75103
1037	8697	75094
1038	8705	75083
1039	8713	75071
1040	8721	75061
1041	8729	75050
1042	8737	75039
1043	8745	75027
1044	8754	75020
1045	8762	75007
1046	8770	74995
1047	8778	74984
1048	8786	74973
1049	8794	74961
1050	8802	74950
1051	8810	74940
1052	8818	74928
1053	8826	74920
1054	8835	74909
1055	8843	74902
1056	8851	74888
1057	8859	74879
1058	8867	74869
1059	8876	74860
1060	8884	74848
1061	8892	74837
1062	8900	74828
1063	8908	74814
1064	8915	74800
1065	8923	74790
1066	8931	74778
1067	8940	74769
1068	8948	74759
1069	8957	74760
1070	8965	74749
1071	8974	74739
1072	8982	74730
1073	8990	74717
